SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
130729.11+533552.8,0.806242,-24.137160804151033,-24.48256290342334,-24.797571797534168,-24.953922730877153,-25.083719219647243,-22.062954231952613,-23.709470143925458,-25.338060580270856,-25.16328614750813,-25.423824327639174,-26.185649209557397,-26.96129916408165
130730.01+092205.1,0.259498,-22.292967954278414,-22.423974647848883,-22.637297320490667,-22.77158849656346,-22.84116077382535,-22.00419977285028,-22.248706143633747,-23.114791459440774,-23.558004437366264,-24.05647550425672,-24.391861360438813,-24.776425418342512
130730.80+084641.9,0.350027,-23.398577916924562,-23.555410559147624,-23.723892321172766,-23.78781980530377,-24.087898325673542,-23.00329363211871,-23.15440408558441,-24.040259192503584,-24.3025608879214,-24.915255697128938,-25.6077891369076,-26.35299323737894
130741.65+512803.8,0.9,-24.03923505220326,-24.233748004001168,-24.601210111558565,-24.69362303568621,-24.88436722380029,-22.653481177620282,-24.067072544742846,-25.179479818667698,-24.9115092167921,-24.823577451869035,-25.904186065451327,-26.892970501413664
130753.47+115803.3,0.97,-25.247697861110517,-25.403227551092606,-25.727474023925666,-25.891854054611446,-26.09398895273418,-24.346778669511185,-25.100631567160946,-26.080183997390545,-26.07444326923452,-26.49039915861376,-27.004773516668827,-27.8861158542291
130753.92+064213.9,0.601,-24.45386873353566,-24.618335058147025,-24.876100172580916,-24.821944454593524,-25.02332697153776,-24.061984312523002,-24.06049039981539,-24.665665795313156,-24.71279526932492,-25.203493308132693,-25.9091734683037,-26.73553052154655
130754.27+004422.0,0.763464,-24.161386388811398,-24.31325760828453,-24.64619073518445,-24.763945798172564,-24.873588430150296,-23.820504074946445,-24.11529231123175,-25.017473517806724,-24.72144247909573,-25.675363536357494,-26.241222128119347,-27.188065585301764
130756.57+010709.6,0.275791,-22.011783213726854,-22.65416196459764,-23.234272883979333,-23.47443739033281,-23.712816450485967,-19.269467576123045,-20.431681732665925,-24.0755459772031,-24.41263657984814,-25.070161331489654,-25.788353216903012,-26.381598695745684
130815.43+021411.6,0.77,-24.409178747121956,-24.664080274325435,-25.05096210541682,-25.178958369429704,-25.35183341211621,-18.48604043112486,-16.362616703627218,-25.48822518323496,-25.50451127603386,-26.193482649001098,-27.315195577368865,-28.207137234551464
130818.89+034437.2,0.227849,-22.899291695928614,-22.941757805023116,-23.100034271858707,-23.289521837484937,-23.182396697325213,-22.87882882364212,-22.955344370437846,-23.33837674842807,-23.673594970373195,-24.30342955321639,-24.700897102483864,-25.195726396836776
130820.41+282245.6,0.857247,-23.939840029531112,-24.01802291071827,-24.304036442783314,-24.450868421529787,-24.64022762934789,-23.167632040218866,-23.750700107359098,-25.07475913220275,-23.609012840326603,-25.838876107186056,-26.164459261419704,-27.1671367831967
130829.67+300539.0,0.808,-24.701381371466635,-25.005289271927627,-25.41409892734458,-25.563541924356535,-25.755045881314445,-21.98088085150652,-24.358460022809822,-26.166274286127504,-26.058726624974607,-26.649723118275173,-27.138963930528167,-28.031034557958026
130832.10+034403.9,0.618932,-24.037562716849866,-24.21202107121532,-24.41711112700037,-24.437956247434215,-24.537999438329347,-23.360337719088474,-23.531364963052688,-24.369358814606887,-24.60983699916369,-25.06825452803685,-26.33465859169235,-27.127098029348875
130843.86+190439.7,0.2219,-22.65095983988215,-22.80581442790674,-23.00879278659305,-23.135163453340912,-23.074515015565467,-22.23305595091189,-22.341506546136962,-23.25420816928722,-23.560048618559392,-24.058157065418044,-24.604178389159163,-25.111333216629944
