SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
130516.83+261304.0,0.183,-21.20829704471658,-21.550439492376544,-21.914823201681685,-22.00592844472642,-22.090552517574714,-19.699981593044182,-20.69513060439392,-22.489828339610348,-22.99251229857696,-23.746797787335353,-23.975600647171795,-24.429162296858685
130522.74+511640.2,0.787552,-24.441240681941526,-24.567788565465744,-25.054255990218188,-25.23980496002689,-25.345481338242237,-24.023891650541955,-24.369645281626767,-25.36802498041657,-25.798107786467043,-26.021017199611922,-26.57807295717796,-27.559528091296205
130524.25+035730.9,0.545657,-23.573976045473493,-23.67917684951332,-23.87494404272028,-23.863434736637217,-24.02734934955108,-23.36616209445425,-23.462903760955836,-24.00462050968051,-24.76959663657655,-25.26000594573611,-26.22833662621005,-27.052379537476124
130524.85+221913.8,0.4894,-23.044723682678594,-23.167510404432186,-23.377554382281126,-23.34555266156343,-23.612264720643786,-23.460755885517983,-23.530252323721392,-23.859277951881403,-24.223347188304025,-24.750402589251433,-25.215686244910103,-25.92267244913724
130534.03+611754.0,2.373,-24.61269749935223,-24.63183142151833,-25.148750640156003,-25.295149830104137,-25.62656422201872,-21.97009627324815,-21.04135389469958,-26.157929651967365,-26.73722388137272,-26.9137175423127,-26.808475798815053,-27.784413621671483
130541.91+184328.6,2.0624,-24.669158180299785,-24.936658791243293,-25.464137653383602,-25.709537849007027,-26.007875421199465,-21.32119173569787,-21.59777532522473,-26.013941101117506,-26.643633778642453,-26.8973349107397,-27.245054796312356,-27.727978510338062
130543.81+333531.5,0.488386,-23.264883298693917,-23.424436056665115,-23.60837801165549,-23.60697850976152,-23.788555767435074,-23.35203347292323,-23.38195712817992,-23.916156075641926,-24.46182685701697,-24.879537626393546,-25.447049172624116,-26.286749613338245
130544.32+530136.2,0.866179,-24.939729934698025,-25.142002727003796,-25.432390573091336,-25.49995659023287,-25.62375331779552,-24.088558756542152,-25.106227090572204,-26.005497925165848,-26.015262982767148,-26.445835409609558,-27.181227255781753,-28.065995998301076
130554.16+014929.9,0.734,-24.0075216376538,-24.219095734114955,-24.56908683788121,-24.547681983769753,-24.802713028407542,-23.98698625940781,-24.459836658459114,-24.972302556032282,-25.349698718838674,-25.18267428010219,-26.08029567451756,-26.843180419045822
130601.87+580319.8,0.443982,-23.611554500421505,-23.68924429593787,-24.004707998633673,-23.99781710016613,-24.197120952291044,-23.909430358543396,-23.83839058143459,-24.698738935892578,-25.306747167747037,-25.9916038663886,-26.776173397983253,-27.680270536306846
130608.36+342042.9,0.776047,-24.407722480851678,-24.581213855149965,-24.87320479846591,-24.93768515794643,-24.998882259951284,-24.26029360722306,-24.563805360845112,-25.32383706541764,-25.49587814674375,-25.42614864057283,-26.3896849874604,-27.156517016482038
130616.67+310529.2,2.023,-25.079072923105162,-25.29113097299084,-25.679871228476497,-25.795902688371083,-26.02663906942692,-17.158473550415426,-23.819315048414946,-26.711839030119773,-26.893929589823358,-27.026688346979864,-27.145489542591235,-28.079235915684233
130624.96+340135.8,0.281,-21.57204851889157,-21.672364273931056,-21.913100560512188,-22.046055684052238,-22.078913654701488,-21.65182311813368,-21.552066718560045,-22.421147186114645,-22.56895897892013,-23.270870208812745,-23.98568460512482,-24.639584551050262
130627.03+244123.8,0.8337,-24.05759070054145,-24.276863156448584,-24.68756908264934,-24.868341150592805,-25.077747211769797,-23.786576190262874,-24.21325478848001,-25.564383679686618,-25.578710867930496,-25.992659097893014,-26.348098895544137,-27.285552039649215
130629.95+474132.3,2.543,-24.512837085277475,-24.539203533447544,-25.188720775273453,-25.532649688986695,-25.792741511775265,-21.618612732224168,-21.9077262578875,-26.303620858516112,-26.386881138611642,-26.638781672568385,-26.84437123224638,-27.470647088396557
130631.63+435100.4,0.755,-24.615091748014276,-24.709988979415712,-24.982158366011944,-25.17551768744348,-25.223337624949107,-23.679541431154043,-24.112179644971178,-25.492677394793123,-25.543636351390926,-25.75204413587184,-26.04602453406416,-26.800202672459378
130635.92+220642.4,0.8803,-25.020355790126654,-24.996881205680058,-25.273853227935035,-25.379077228617277,-25.553063485527996,-19.095984447463717,-17.692984604774814,-25.70503867453685,-25.795993144599407,-26.380241837922277,-26.905819660140754,-27.8478984860596
130646.77+200910.4,1.167,-24.748385113835795,-25.10902279245051,-25.504730181443566,-25.616037779741646,-25.84426869240472,-22.841636695466846,-24.629378251953305,-26.104468507449948,-26.006248750195198,-26.557794143458345,-26.670942674215425,-27.490333343130263
130708.76+342421.8,0.186447,-22.747817789990197,-22.78879399556161,-22.971415652979267,-23.126399635626115,-23.056983318646807,-22.406419099464564,-22.671568584557164,-24.240965288434555,-24.53697430930187,-24.438272555578767,-24.65902018582856,-25.046260175383985
130724.69+371156.9,2.04,-24.910467345697093,-25.0619553856762,-25.363459124462207,-25.487825176286382,-25.75092937242079,-20.081595479337548,-23.366523721727482,-26.257195300054946,-26.16872342376047,-26.759207526333274,-26.78091522762546,-27.565824087816544
