# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

1159.300000,1.305420e-13
1159.860000,1.290490e-13
1160.430000,1.271760e-13
1160.990000,1.258130e-13
1161.560000,1.245010e-13
1162.120000,1.235230e-13
1162.690000,1.236500e-13
1163.250000,1.242650e-13
1163.820000,1.246940e-13
1164.380000,1.246390e-13
1164.950000,1.248460e-13
1165.510000,1.254680e-13
1166.080000,1.275310e-13
1166.640000,1.297170e-13
1167.210000,1.329470e-13
1167.770000,1.359230e-13
1168.340000,1.380700e-13
1168.900000,1.387400e-13
1169.460000,1.389460e-13
1170.030000,1.382110e-13
1170.590000,1.380230e-13
1171.160000,1.378600e-13
1171.720000,1.378430e-13
1172.290000,1.384980e-13
1172.850000,1.409800e-13
1173.420000,1.425570e-13
1173.980000,1.428410e-13
1174.550000,1.431250e-13
1175.110000,1.427900e-13
1175.680000,1.406510e-13
1176.240000,1.382300e-13
1176.810000,1.371580e-13
1177.370000,1.371720e-13
1177.940000,1.382730e-13
1178.500000,1.400120e-13
1179.070000,1.428620e-13
1179.630000,1.456110e-13
1180.200000,1.476600e-13
1180.760000,1.481420e-13
1181.330000,1.480330e-13
1181.890000,1.476750e-13
1182.460000,1.474940e-13
1183.020000,1.473300e-13
1183.590000,1.475980e-13
1184.150000,1.482860e-13
1184.720000,1.495760e-13
1185.280000,1.503120e-13
1185.850000,1.496470e-13
1186.410000,1.490100e-13
1186.980000,1.497890e-13
1187.540000,1.522430e-13
1188.110000,1.559840e-13
1188.670000,1.620930e-13
1189.240000,1.679980e-13
1189.800000,1.722590e-13
1190.370000,1.747480e-13
1190.930000,1.766040e-13
1191.500000,1.761820e-13
1192.060000,1.761050e-13
1192.630000,1.776720e-13
1193.190000,1.795140e-13
1193.760000,1.821630e-13
1194.320000,1.867260e-13
1194.890000,1.922060e-13
1195.450000,1.962630e-13
1196.020000,1.996650e-13
1196.580000,2.020290e-13
1197.150000,2.042240e-13
1197.710000,2.060090e-13
1198.280000,2.088410e-13
1198.840000,2.119800e-13
1199.410000,2.160350e-13
1199.970000,2.203270e-13
1200.540000,2.232660e-13
1201.100000,2.253450e-13
1201.670000,2.287480e-13
1202.230000,2.318330e-13
1202.800000,2.353050e-13
1203.360000,2.405730e-13
1203.930000,2.463390e-13
1204.490000,2.522770e-13
1205.060000,2.595440e-13
1205.620000,2.684130e-13
1206.190000,2.800610e-13
1206.750000,2.945700e-13
1207.320000,3.108130e-13
1207.880000,3.287890e-13
1208.450000,3.470070e-13
1209.010000,3.636580e-13
1209.580000,3.798220e-13
1210.140000,3.959720e-13
1210.710000,4.126930e-13
1211.270000,4.325010e-13
1211.840000,4.564990e-13
1212.400000,4.851330e-13
1212.970000,5.135540e-13
1213.530000,5.439230e-13
1214.100000,5.736360e-13
1214.660000,6.023250e-13
1215.230000,6.256200e-13
1215.790000,6.484400e-13
1216.360000,6.660910e-13
1216.920000,6.751610e-13
1217.490000,6.740670e-13
1218.050000,6.653760e-13
1218.620000,6.470860e-13
1219.180000,6.221710e-13
1219.750000,5.947130e-13
1220.310000,5.662670e-13
1220.880000,5.380110e-13
1221.440000,5.122740e-13
1222.010000,4.890650e-13
1222.570000,4.676010e-13
1223.140000,4.487130e-13
1223.700000,4.322310e-13
1224.270000,4.172100e-13
1224.830000,4.024790e-13
1225.400000,3.882980e-13
1225.960000,3.752080e-13
1226.530000,3.634050e-13
1227.090000,3.522250e-13
1227.660000,3.424240e-13
1228.220000,3.345910e-13
1228.790000,3.269050e-13
1229.350000,3.193530e-13
1229.920000,3.127090e-13
1230.480000,3.065870e-13
1231.050000,3.007550e-13
1231.610000,2.961350e-13
1232.180000,2.920250e-13
1232.740000,2.884180e-13
1233.310000,2.853030e-13
1233.870000,2.830190e-13
1234.440000,2.817340e-13
1235.000000,2.813770e-13
1235.570000,2.809240e-13
1236.130000,2.805300e-13
1236.700000,2.801070e-13
1237.260000,2.790430e-13
1237.830000,2.780370e-13
1238.390000,2.775400e-13
