SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
024546.10-085842.0,0.148382,-20.999607209516046,-21.263245878427835,-21.601626881370223,-21.754710120578903,-21.781673191385263,-20.33784117632128,-20.48388860650449,-21.97606447604727,-22.40806595418615,-22.62206963343555,-23.25162517100132,-23.56389353397211,3
025007.03+002525.3,0.197511,-21.61288059397601,-21.762590886049686,-22.052938275589963,-22.28759144755873,-22.242254944777294,-20.964513890253613,-21.284468658370244,-22.665360279068725,-22.972475903245986,-23.406456579679592,-23.895479606969207,-24.355625223710952,3
031027.82-004950.7,0.080447,-21.458635018290835,-21.76317933673804,-22.118539514574707,-22.000337042515444,-22.043657364381662,-20.47106230342328,-20.698214149162258,-21.905276153504207,-22.067197450113724,-22.166085905672556,-22.53351488959204,-22.82179869647793,3
031209.20-081013.8,0.264839,-22.402100248964366,-22.742691939210108,-23.075899278710114,-23.24518463728232,-23.32994950661362,-21.456681069140323,-21.93817129180642,-23.47128408909015,-23.8464154118083,-24.389586318256804,-24.93483131543354,-25.53267081140465,3
032213.89+005513.4,0.185441,-22.520967638359203,-22.83834413674962,-23.16327651224829,-23.40295939509251,-23.26533545218688,-21.84054171380783,-22.22036592781078,-23.84702534515329,-24.253124493529945,-24.847738701828927,-25.570099650389366,-26.07087524057388,3
032337.64+003555.6,0.215677,-21.51223592322707,-21.83839335530276,-22.152204272189834,-22.336556728756,-22.26504810041198,-21.12189808453636,-21.402245252951875,-22.558012151572104,-23.18949867564871,-23.409337620378697,-24.116977609092785,-24.60422969210006,3
035011.17-060501.5,0.252098,-21.96082274076171,-22.246174972669696,-22.595465039349936,-22.78450145937593,-22.82541109843897,-21.631102150757016,-21.78363361427993,-22.966052701507294,-23.59453642701993,-24.01681324532449,-24.560956108374107,-25.000664992492137,3
035918.42-044313.5,0.319102,-21.759640317847083,-22.10610161095338,-22.438320418427068,-22.66756755318344,-22.726766982706145,-20.44558041599299,-20.782953052048057,-22.78209602648572,-22.83964519138609,-23.73240388008344,-23.827069690296707,-24.29792528232013,3
044428.77+122111.7,0.0893,-22.233142872617957,-22.40437529064584,-22.59107726474457,-22.51933472214423,-22.60330639293657,-21.89727677278008,-21.84983153011122,-23.36001808014508,-24.0684273940531,-24.59937477452374,-25.37707091102025,-25.71527579804897,3
072240.09+413353.1,0.210175,-21.82714987483766,-22.07515215430755,-22.38917508202014,-22.571777712538807,-22.64166895256931,-20.968117467599804,-21.08349712944649,-23.04647442095481,-23.503192959911505,-23.89135709262485,-24.6041921512438,-25.12258946851363,3
072636.99+375908.7,0.396657,-22.701530818699105,-22.99249318179439,-23.47114216966375,-23.728026511825405,-23.86272385411268,-21.769789910181863,-22.343915478904133,-23.867873262811187,-24.050721558853173,-24.42401791453158,-24.715510060241677,-25.18782884742864,3
072756.72+395930.6,0.216466,-21.58318162466477,-21.841996241210943,-22.12918062992225,-22.26578491982632,-22.361109419315135,-21.019318154754203,-21.227990875420083,-22.369917290863636,-22.587289508731764,-23.15218177077841,-23.98797688974512,-24.43118724027884,3
072937.05+375435.0,0.203806,-21.48287035209892,-21.708632303957817,-22.02796731757984,-22.20020027855812,-22.16862130442805,-20.897755851356063,-21.213756063475525,-22.74245641489238,-23.086995470719,-23.55990732721505,-23.90619875707629,-24.37087093736408,3
073309.20+455506.2,0.141583,-22.87105950767136,-23.0496904554722,-23.27814396855096,-23.59273942870829,-23.40959007589245,-22.246670295240605,-22.602756351041013,-24.00716457766527,-24.528833728346736,-25.124841366267912,-25.65455189227533,-25.9832308798779,3
074126.38+354702.6,0.133536,-22.182668093076146,-22.1433827689108,-22.364562973014493,-22.56993027245264,-22.444951230270195,-21.87113352196558,-21.842577902944036,-22.25182640470941,-22.65297388944192,-23.13719582290141,-23.985426577819734,-24.32519796706447,3
074240.04+354024.9,0.220166,-22.072555922458157,-22.214142777150723,-22.45023905154587,-22.678024214069225,-22.77748387074586,-20.84023427645435,-21.104138940889985,-23.017884635474516,-23.495653512846225,-23.7689377199212,-24.344523993423216,-24.70506932573647,3
074644.79+294059.0,0.292905,-22.336075591089564,-22.56604547353755,-22.844036990139557,-22.88698361683213,-22.92467504791011,-21.620913686379268,-22.088049278407937,-23.16008216505999,-23.75072281274307,-24.221572788815124,-24.565681721538237,-25.24501070762684,3
074704.43+483833.3,0.220443,-22.16724139508586,-22.499451990010023,-22.8587400902474,-22.932837921966343,-22.913447940901825,-21.004063672212546,-21.557283534565546,-23.279772574548847,-23.635184247904657,-24.0951787896016,-24.555478890540652,-24.94774963217582,3
074906.50+451033.8,0.192177,-22.68800591338796,-22.728351909879844,-22.967394831924917,-23.225090737245928,-22.96841299323484,-22.627031339716517,-22.7359386083208,-23.37057747094583,-23.947461124625377,-24.597916429457317,-25.06254679802335,-25.48159019331865,3
075112.18+174351.7,0.186541,-21.05858159014293,-21.145734274670296,-21.487213345954995,-21.918986748249203,-21.70935962889689,-20.68813023440927,-20.97337101517989,-22.54241653961968,-22.79113289276305,-23.046787750493596,-23.47672651918721,-23.8459069845362,3
075147.71+245352.7,0.197766,-21.754583485641973,-21.92148771302089,-22.1589357199004,-22.204480690654627,-22.260591943472583,-20.630533092853035,-21.245052290568832,-22.533747373964733,-22.54873405834385,-22.985363269758988,-23.901851960318787,-24.13836331297149,3
075437.80+181240.7,0.297736,-21.939626204258467,-22.22113117161485,-22.593294768263945,-22.811008465835123,-22.834159106918097,-20.978384041495627,-21.85669159378196,-23.175579568333877,-23.708624296959734,-24.07182957641456,-24.379004718289995,-24.908510655163155,3
075819.68+421935.1,0.211,-23.02278346381892,-23.20021359185004,-23.397442000773776,-23.494640030494743,-23.33417004770008,-22.63608738473955,-23.061791117545592,-23.403282475860472,-23.88715714727016,-24.631665109234163,-25.67114779580573,-26.217549153194444,3
075949.54+320023.8,0.187922,-21.63177878556077,-21.858353600235077,-22.124943755677247,-22.24136219897924,-22.162014592821777,-21.37816707918877,-21.612561714912705,-22.269772224473087,-22.83154846914389,-23.146901161601637,-23.91815735547703,-24.3841595707858,3
080131.96+473616.0,0.157022,-22.9713431377054,-23.00039620280503,-23.227256757156614,-23.478820097190763,-23.3107829142129,-23.05270920376345,-23.19710781602717,-23.931138601273133,-24.29423523401183,-24.83865509579281,-25.22523272251205,-25.633951488474544,3
080334.73+433019.7,0.19,-21.29727740219441,-21.78497366519472,-22.203901840574552,-22.347224267306345,-22.42251801697613,-21.59345277929398,-21.84776119576752,-22.57195461818232,-22.87656210508145,-23.325081205059934,-24.051971322520647,-24.346672013954496,3
080554.11+111432.5,0.227743,-22.55239288202152,-22.720818929045,-22.919678940972187,-23.04949735483841,-22.96328826902884,-22.382012581405363,-22.54712416700955,-22.94676929208118,-23.34238294402277,-24.0588006406335,-24.669187179601423,-25.19736028370925,3
080818.34+481758.9,0.217,-21.500815805117448,-21.68726172660861,-21.93080148919185,-22.253344837308543,-22.11141946283804,-21.014364529730454,-21.0100755443868,-22.27728937712299,-22.66269436264696,-22.63965294936729,-23.24408470999137,-23.656438849841354,3
080908.28+202420.4,0.184368,-21.66446624681713,-21.754819443594304,-21.98970970784554,-22.20917567338119,-22.11987548629416,-21.15342801066951,-20.95740754347544,-22.441722655262595,-22.685581067547528,-23.266463950937503,-23.2031398949501,-23.60658469359366,3
081222.99+461529.1,0.311,-22.81157273794709,-23.01725867246039,-23.225351536830708,-23.36538539923429,-23.583031615311477,-22.63599040382873,-22.575257187753184,-23.302794477324845,-23.66518390880608,-24.035603485694704,-24.58767326515127,-25.153861119935137,3
081329.29+483427.8,0.274,-21.784009593031804,-22.00248057257784,-22.330628047279067,-22.53474598709657,-22.75394834084996,-21.23454049067269,-21.17017579785565,-22.94971983067047,-23.211414610089022,-23.509750820290577,-23.84014912005904,-24.308399368962164,3
081441.91+212918.5,0.163116,-21.44988120400204,-21.56713103458797,-21.823497371696156,-21.97098967275293,-21.96905868585157,-21.12967440467077,-21.415423392815228,-22.102504430484807,-22.559200470853312,-23.00394289999772,-23.56748020323869,-23.844504666833668,3
