SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,u_g,g_r,r_i,i_z,FUV_NUV,j_h,h_k,W1_W2,opt_mir
130435.03+184749.0,-24.93057466031301,-25.079882907811,-25.453307801681262,-25.63268434025794,-25.800394243686306,-24.833300778453648,-24.688861907522323,-25.955591419372062,-26.043639007575024,-26.368129684992205,-26.71174992111088,-27.497443451277643,2,0.14930824749799143,0.37342489387026134,0.17937653857667613,0.1677099034283671,-0.14443887093132446,0.08804758820296144,0.32449067741718096,0.785693530166764,1.0790655808529408
130544.32+530136.2,-24.939729934698025,-25.1420027270038,-25.432390573091336,-25.49995659023287,-25.62375331779552,-24.088558756542152,-25.106227090572204,-26.005497925165848,-26.015262982767148,-26.44583540960956,-27.181227255781756,-28.06599599830108,2,0.20227279230577366,0.29038784608753687,0.06756601714153376,0.12379672756264881,1.017668334030052,0.009765057601299532,0.4305724268424136,0.8847687425193236,1.6812706655488867
130627.03+244123.8,-24.05759070054145,-24.276863156448584,-24.68756908264934,-24.868341150592805,-25.0777472117698,-23.786576190262878,-24.21325478848001,-25.564383679686618,-25.578710867930496,-25.99265909789301,-26.348098895544137,-27.28555203964921,2,0.2192724559071344,0.4107059262007553,0.18077206794346523,0.20940606117699545,0.4266785982171335,0.014327188243878908,0.41394822996251435,0.9374531441050742,1.479757744951332
130631.63+435100.4,-24.61509174801428,-24.709988979415712,-24.982158366011944,-25.17551768744348,-25.223337624949107,-23.679541431154043,-24.112179644971174,-25.492677394793123,-25.543636351390926,-25.75204413587184,-26.04602453406416,-26.800202672459378,2,0.09489723140143269,0.27216938659623224,0.19335932143153656,0.04781993750562563,0.43263821381713186,0.05095895659780325,0.20840778448091513,0.7541781383952184,0.8705068466206782
130646.77+200910.4,-24.748385113835795,-25.10902279245051,-25.504730181443566,-25.61603777974165,-25.84426869240472,-22.84163669546685,-24.629378251953305,-26.104468507449948,-26.0062487501952,-26.557794143458345,-26.670942674215425,-27.490333343130263,2,0.3606376786147152,0.39570738899305624,0.11130759829808312,0.22823091266307216,1.7877415564864556,-0.0982197572547463,0.5515453932631438,0.8193906689148385,1.0549048944737756
130724.69+371156.9,-24.910467345697093,-25.0619553856762,-25.363459124462207,-25.487825176286385,-25.75092937242079,-20.081595479337548,-23.36652372172748,-26.257195300054946,-26.16872342376047,-26.759207526333277,-26.78091522762546,-27.565824087816544,2,0.15148803997910676,0.3015037387860069,0.12436605182417892,0.26310419613440317,3.284928242389931,-0.08847187629447717,0.5904841025728089,0.7849088601910843,1.2930900513390746
130729.11+533552.8,-24.137160804151037,-24.48256290342334,-24.797571797534168,-24.953922730877157,-25.083719219647243,-22.062954231952613,-23.709470143925454,-25.338060580270856,-25.16328614750813,-25.42382432763917,-26.1856492095574,-26.96129916408165,2,0.34540209927230237,0.31500889411082866,0.15635093334298844,0.12979648877008643,1.6465159119728412,-0.17477443276272453,0.26053818013103935,0.7756499545242512,1.231726478680244
130741.65+512803.8,-24.03923505220326,-24.233748004001168,-24.601210111558565,-24.69362303568621,-24.88436722380029,-22.65348117762028,-24.06707254474285,-25.179479818667694,-24.9115092167921,-24.823577451869035,-25.904186065451327,-26.892970501413664,2,0.19451295179790762,0.3674621075573974,0.09241292412764324,0.19074418811408123,1.4135913671225708,-0.26797060187559296,-0.08793176492306642,0.9887844359623372,1.2105630297651189
130753.47+115803.3,-25.24769786111052,-25.40322755109261,-25.727474023925662,-25.891854054611446,-26.09398895273418,-24.346778669511185,-25.100631567160946,-26.080183997390545,-26.07444326923452,-26.49039915861376,-27.004773516668827,-27.8861158542291,2,0.15552968998208883,0.3242464728330532,0.1643800306857841,0.20213489812273266,0.7538528976497609,-0.005740728156023778,0.4159558893792372,0.8813423375602731,1.1129194620573806
130754.27+004422.0,-24.1613863888114,-24.31325760828453,-24.64619073518445,-24.763945798172564,-24.873588430150296,-23.820504074946445,-24.11529231123175,-25.017473517806724,-24.72144247909573,-25.67536353635749,-26.241222128119347,-27.188065585301764,2,0.15187121947312932,0.3329331268999205,0.11775506298811322,0.1096426319777315,0.2947882362853065,-0.2960310387109928,0.9539210572617591,0.9468434571824176,1.4772763299467826
130820.41+282245.6,-23.939840029531112,-24.01802291071827,-24.304036442783318,-24.450868421529787,-24.64022762934789,-23.167632040218862,-23.750700107359098,-25.07475913220275,-23.609012840326603,-25.838876107186056,-26.164459261419704,-27.1671367831967,2,0.078182881187157,0.28601353206504854,0.14683197874646936,0.18935920781810367,0.5830680671402355,-1.4657462918761475,2.2298632668594536,1.0026775217769952,1.7135908398899176
130829.67+300539.0,-24.701381371466635,-25.005289271927627,-25.41409892734458,-25.56354192435653,-25.755045881314445,-21.98088085150652,-24.358460022809822,-26.166274286127504,-26.058726624974607,-26.649723118275173,-27.138963930528167,-28.031034557958023,2,0.3039079004609917,0.40880965541695247,0.14944299701195263,0.1915039569579129,2.377579171303303,-0.10754766115289627,0.5909964933005654,0.892070627429856,1.5754220061716353
130906.92-022916.5,-24.763923697205968,-24.932788151158835,-25.307007366445028,-25.43368784240034,-25.59811100571508,-23.64181301975525,-24.34992604406204,-25.85629954057943,-25.911106318828768,-26.156785224926832,-26.697042507142108,-27.5045006643116,2,0.16886445395286742,0.3742192152861925,0.12668047595531107,0.1644231633147406,0.7081130243067904,0.05480677824933977,0.24567890609806398,0.8074581571694921,1.2633546647417688
130952.89+011950.6,-23.523372227616328,-23.767141838925447,-24.2288431150418,-24.381205537549413,-24.649397666863564,-21.876839290343405,-22.896721658808065,-24.89979274444711,-25.106102441188803,-25.510510538454174,-25.800991968096984,-26.69941759793963,2,0.24376961130911923,0.46170127611635436,0.15236242250761123,0.2681921293141514,1.0198823684646605,0.20630969674169108,0.40440809726537097,0.8984256298426452,1.4197864305475711
131011.60+460124.4,-26.394610995849824,-26.501570585852495,-26.82589772196373,-26.899667810729227,-27.10371398983647,-24.648978109998964,-25.21104470576253,-27.62091342733741,-27.870826295332986,-28.30058101943028,-28.30087582071408,-29.30288996869577,2,0.10695959000267052,0.3243271361112363,0.07377008876549596,0.20404617910724454,0.5620665957635644,0.249912867995576,0.4297547240972932,1.00201414798169,1.4012080099848525
131018.46+135012.7,-24.13806968861249,-24.37141640507034,-24.740396264384177,-24.969690305107303,-25.15967395940592,-21.75991444984904,-23.79376291286406,-25.462425448684737,-25.31754923630375,-25.65653387213357,-26.337854498599302,-27.122626798791057,2,0.2333467164578522,0.3689798593138356,0.22929404072312565,0.18998365429861863,2.033848463015019,-0.1448762123809857,0.3389846358298172,0.7847723001917544,1.3681641934919995
131028.21+150327.8,-24.46789551484505,-24.631108808295284,-24.989675176735613,-25.173678999742076,-25.4913483832376,-22.824467067320192,-23.936378945391244,-26.233056135138245,-26.04271727560777,-26.855187628403076,-26.23972261965792,-26.89303303958252,2,0.16321329345023372,0.35856636844032863,0.18400382300646356,0.31766938349552376,1.1119118780710515,-0.19033885953047402,0.8124703527953052,0.6533104199246011,1.0660436199158418
131137.05+334648.6,-24.326740126042058,-24.52088785093768,-24.8540850247573,-25.04388882255412,-25.251316400594582,-22.23168624511967,-23.95506205693436,-25.784763400928544,-25.42208801274333,-25.68749419911766,-26.40730651644781,-27.350438764455227,2,0.19414772489562182,0.3331971738196202,0.1898037977968201,0.20742757804046263,1.723375811814691,-0.36267538818521317,0.265406186374328,0.9431322480074158,1.363417693893691
131204.26+494632.5,-24.69916083048673,-24.865516239266352,-25.21413591037062,-25.35423832607783,-25.535993912403157,-22.50201177003312,-24.521538517846142,-25.64923469916912,-25.62102114568417,-25.83481566155756,-26.75969441720122,-27.531338042204887,2,0.16635540877962285,0.3486196711042666,0.1401024157072115,0.18175558632532685,2.019526747813021,-0.028213553484949472,0.2137945158733885,0.7716436250036658,1.4054560911233906
131206.53+063622.8,-24.258399023990695,-24.32331892187015,-24.60948151335933,-24.701511635911565,-24.686356708841387,-23.90882703417112,-23.853812626402767,-24.72144355139,-24.764978885597085,-25.378409753813315,-26.24184557815014,-27.25040477831519,2,0.06491989787945585,0.28616259148918033,0.09203012255223442,-0.015154927070177848,-0.05501440776835409,0.04353533420708544,0.6134308682162306,1.008559200165049,1.5403339422385756
